"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка отображения иконки 'Saved' во всплывающей шторке после сохранения статьи.","17026","Проверка появления индикатора 'Saved' в шторке","tests","2026-08-25","passed","2026-08-25","","test_article_saved_status","",""
"Тест переключения между табами нижнего меню (Saved, More, Home).","7901","Проверка переключения между табами нижнего меню","tests","2026-08-25","passed","2026-08-25","","test_navigation","",""
"E2E-тест сохранения статьи в закладки и проверки её наличия в разделе Saved.","38907","E2E-тест сохранения статьи в закладки и проверки её наличия в разделе Saved","tests","2026-08-25","passed","2026-08-25","","test_save_article","",""
"Негативный тест: ввод несуществующей строки и проверка надписи 'No results'.","11199","Проверка сообщения при отсутствии результатов поиска","tests","2026-08-25","passed","2026-08-25","","test_search_no_results","",""
"","26874","Проверка сохранения запроса в историю и его очистки","tests","2026-08-25","passed","2026-08-25","TestSearchHistory","test_search_history","",""
"Сценарий: Главный экран -> Меню More -> Клик по Settings -> Проверка заголовка Settings.","5034","Проверка перехода в экран Настроек через меню More","tests","2026-08-25","passed","2026-08-25","","test_settings_navigation","",""
"Проверка динамического прохождения онбординга.","6454","Проверка динамического прохождения онбординга","tests","2026-08-25","passed","2026-08-25","","test_onboarding","",""
"Сценарий: Поиск -> Открытие -> Save -> Нажатие на 'Saved' в шторке -> Проверка отсутствия во вкладке Saved.","29340","Проверка сохранения и отмены сохранения статьи через шторку","tests","2026-08-25","passed","2026-08-25","","test_save_and_remove_article","",""
"Тест очистки введенного запроса по кнопке 'Крестик'.","12581","Проверка очистки введенного запроса по кнопке 'Крестик'","tests","2026-08-25","passed","2026-08-25","","test_clear_search","",""
"Тест перехода в статью из результатов поиска.","19239","Проверка перехода в статью из результатов поиска","tests","2026-08-25","passed","2026-08-25","","test_article","",""
"Тест поиска статьи на Wikipedia.","11494","Проверка поиска статьи на Wikipedia","tests","2026-08-25","passed","2026-08-25","","test_search","",""
